"type","quality","fixedAcidity","volatileAcidity","citricAcid","residualSugar","chlorides","freeSulfurDioxide","totalSulfurDioxide","density","pH","sulphates","alcohol"
"white",3,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8
"white",3,5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7
"white",3,9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5
"white",3,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5
"white",3,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6
"white",3,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6
"white",3,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1
"white",3,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4
"white",3,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11
"white",3,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1
"white",3,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4
"white",3,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11
"white",3,11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7
"white",3,7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4
"white",3,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1
"white",3,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8
"white",3,9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11
"white",3,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11
"white",3,6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5
"white",3,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5
"red",3,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9
"red",3,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4
"red",3,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7
"red",3,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9
"red",3,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11
"red",3,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9
"red",3,6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8
"red",3,7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7
"red",3,7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2
"red",3,6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95
"red",4,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10
"white",4,7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7
"white",4,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1
"red",4,6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05
"red",4,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9
"red",4,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5
"white",4,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9
"white",4,8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3
"red",4,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5
"white",4,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10
"white",4,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7
"white",4,6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4
"white",4,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9
"red",4,7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9
"white",4,6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9
"white",4,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9
"white",4,7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6
"white",4,7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2
"white",4,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6
"white",4,8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8
"white",4,6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4
"white",4,6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1
"white",4,9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2
"red",4,7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10
"red",4,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1
"red",4,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4
"white",4,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2
"red",4,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8
"white",4,8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8
"white",4,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1
"white",4,6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4
"red",4,12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4
"red",4,10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3
"white",4,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5
"white",4,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2
"red",4,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9
"red",4,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1
"white",4,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7
"white",4,6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9
"red",4,6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10
"red",4,6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2
"white",4,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4
"white",4,6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1
"white",4,6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8
"white",4,7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6
"white",4,6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9
"white",4,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9
"red",4,6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11
"white",4,6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7
"red",4,7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6
"red",4,8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6
"white",4,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1
"white",4,10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10
"white",4,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4
"white",4,6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5
"white",4,6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4
"white",4,6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1
"white",4,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1
"white",4,7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1
"white",4,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5
"white",4,7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2
"white",4,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8
"white",4,9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1
"white",4,6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5
"white",4,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7
"white",4,9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3
"white",4,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1
"white",4,6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6
"white",4,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5
"white",4,5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5
"white",4,6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7
"white",4,6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9
"white",5,6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8
"white",5,6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4
"white",5,7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9
"white",5,6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9
"white",5,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7
"red",5,9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4
"white",5,8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3
"white",5,7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9
"red",5,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8
"red",5,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4
"white",5,6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5
"white",5,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2
"white",5,5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5
"white",5,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7
"white",5,6.9,0.4,0.43,6.2,0.065,42,178,0.99552,3.11,0.53,9.4
"white",5,6.1,0.37,0.2,7.6,0.031,49,170,0.99558,3.22,0.48,9.5
"white",5,6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9
"red",5,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1
"white",5,6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8
"white",5,8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4
"white",5,6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6
"red",5,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4
"red",5,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2
"white",5,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1
"white",5,6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7
"red",5,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3
"white",5,7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11
"white",5,6.6,0.25,0.33,8.5,0.042,29,141,0.99546,3.28,0.6,10.4
"red",5,9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2
"white",5,6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9
"white",5,7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1
"red",5,6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2
"white",5,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7
"white",5,5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2
"white",5,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2
"white",5,6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3
"red",5,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2
"red",5,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4
"white",5,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7
"white",5,6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9
"white",5,6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6
"red",5,9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5
"white",5,6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9
"red",5,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13
"white",5,6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1
"white",5,8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2
"white",5,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9
"white",5,6.4,0.35,0.21,2.1,0.051,46,171,0.9932,3.16,0.5,9.5
"white",5,5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8
"white",5,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5
"white",5,7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8
"white",5,8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4
"red",5,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8
"red",5,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8
"red",5,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10
"red",5,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2
"white",5,6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5
"white",5,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4
"red",5,8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5
"white",5,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8
"white",5,7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9
"white",5,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6
"white",5,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4
"red",5,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8
"red",5,8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8
"red",5,8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8
"white",5,6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1
"white",5,7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9
"white",5,8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5
"red",5,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7
"white",5,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5
"white",5,7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1
"white",5,7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2
"white",5,6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10
"white",5,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3
"white",5,7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4
"white",5,6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4
"white",5,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4
"red",5,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7
"red",5,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1
"red",5,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7
"red",5,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3
"white",5,7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11
"red",5,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2
"red",5,8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8
"red",5,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5
"white",5,6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3
"white",5,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11
"white",5,6.9,0.42,0.2,15.4,0.043,57,201,0.99848,3.08,0.54,9.4
"white",5,6.6,0.27,0.52,8.1,0.044,53,202,0.99548,3.18,0.48,9.5
"red",5,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9
"white",5,9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6
"white",5,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2
"red",5,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11
"red",5,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1
"white",5,6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6
"white",5,6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8
"red",5,6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8
"red",5,6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2
"red",5,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6
"red",5,11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5
"white",5,6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13
"white",5,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2
"red",5,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
"white",5,7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8
"white",5,7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8
"red",5,8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5
"red",5,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3
"red",5,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5
"white",5,6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10
"white",5,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8
"white",5,6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8
"white",5,6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3
"white",5,6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9
"white",5,6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1
"white",5,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10
"red",5,8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4
"red",5,6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1
"white",5,6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6
"red",5,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7
"white",5,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7
"red",5,7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9
"white",5,6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4
"red",5,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9
"white",5,6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10
"white",5,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5
"red",5,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13
"white",5,9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3
"white",5,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1
"white",5,7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9
"white",5,6.8,0.22,0.36,1.2,0.052,38,127,0.9933,3.04,0.54,9.2
"white",5,6.4,0.34,0.44,8.2,0.043,54,201,0.99551,3.18,0.48,9.5
"white",5,7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4
"red",5,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6
"white",5,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5
"white",5,8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7
"white",5,6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5
"white",5,6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6
"white",5,7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9
"red",5,8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10
"red",5,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2
"white",5,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3
"white",5,6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9
"red",5,6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6
"white",5,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6
"white",5,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9
"white",5,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4
"white",5,7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9
"red",5,6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6
"white",5,6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3
"red",5,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5
"white",5,6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.53333333333333
"white",5,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2
"white",5,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8
"red",5,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5
"white",5,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8
"red",5,7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5
"red",5,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5
"red",5,10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3
"white",5,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4
"white",5,6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9
"white",5,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4
"red",5,13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9
"white",5,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8
"white",5,5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1
"white",5,6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8
"white",5,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4
"white",5,8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5
"white",5,6.5,0.26,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9
"white",5,6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10
"red",5,6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5
"white",5,7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3
"white",5,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7
"white",5,7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4
"white",5,6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4
"white",5,7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10
"white",5,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9
"white",5,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8
"red",5,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5
"red",5,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2
"red",5,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5
"white",5,6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4
"white",5,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2
"white",5,7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8
