"type","quality","fixedAcidity","volatileAcidity","citricAcid","residualSugar","chlorides","freeSulfurDioxide","totalSulfurDioxide","density","pH","sulphates","alcohol"
"red",5,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3
"red",5,10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8
"white",5,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4
"red",5,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10
"red",5,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5
"white",5,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4
"red",5,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5
"white",5,6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2
"red",5,9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7
"red",5,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3
"white",5,6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11
"red",5,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8
"red",5,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3
"white",5,7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1
"red",5,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9
"white",5,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4
"white",5,7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9
"white",5,6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4
"white",5,9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6
"white",5,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5
"white",5,6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8
"white",5,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4
"white",5,5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10
"white",5,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7
"red",5,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5
"white",5,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4
"red",5,8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7
"white",5,6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2
"white",5,6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2
"red",5,10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6
"red",5,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2
"white",5,5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2
"white",5,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4
"white",5,6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4
"red",5,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5
"red",5,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9
"white",5,6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8
"white",5,6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8
"red",5,7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7
"red",5,7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5
"white",5,7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1
"white",5,5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7
"white",5,7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7
"red",5,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6
"white",5,5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8
"white",5,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4
"white",5,6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4
"red",5,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9
"red",5,5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9
"white",5,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3
"white",5,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8
"red",5,8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5
"white",5,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4
"red",5,8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9
"white",5,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4
"white",5,6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10
"red",5,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5
"red",5,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1
"white",5,7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4
"white",5,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10
"white",5,6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5
"white",5,7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9
"white",5,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4
"white",5,6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9
"red",5,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8
"white",5,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10
"white",5,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6
"white",5,6.8,0.31,0.09,1.4,0.04,56,145,0.9922,3.19,0.46,10
"white",5,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5
"red",5,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1
"white",5,5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3
"white",5,8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7
"white",5,6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5
"red",5,6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5
"white",5,8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7
"red",5,6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6
"red",5,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7
"white",5,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5
"red",5,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8
"white",5,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1
"red",5,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7
"red",5,10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4
"white",5,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.75
"red",5,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5
"white",5,7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4
"white",5,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6
"white",5,6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2
"white",5,7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3
"white",5,7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7
"white",5,6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3
"white",5,7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2
"white",5,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10
"white",5,7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5
"white",5,7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3
"white",5,7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7
"white",5,6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10
"white",5,5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8
"white",5,6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9
"white",5,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2
"white",5,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7
"white",5,7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9
"white",5,6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1
"white",5,6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1
"red",5,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2
"white",5,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.5666666666667
"white",5,6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1
"white",5,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4
"red",5,9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9
"white",5,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8
"white",5,5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8
"red",5,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7
"white",5,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9
"white",5,6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6
"white",5,7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2
"red",5,7.6,0.41,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2
"white",5,7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9
"white",5,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5
"red",5,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4
"red",5,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7
"white",5,7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9
"red",5,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5
"white",5,6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3
"white",5,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.4666666666667
"white",5,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4
"white",5,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8
"white",5,7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9
"white",5,6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7
"white",5,7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3
"white",5,6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3
"white",5,7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3
"white",5,7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2
"white",5,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4
"red",5,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1
"white",5,8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05
"red",5,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5
"white",5,7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9
"white",5,7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8
"red",5,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2
"white",5,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2
"white",5,7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9
"red",5,10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1
"white",5,8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4
"white",5,6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2
"red",5,5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9
"white",5,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2
"white",5,7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3
"red",5,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7
"white",5,7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9
"white",5,6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9
"white",5,7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8
"white",5,7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9
"white",5,6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1
"white",5,7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2
"red",5,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4
"white",5,5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10
"white",5,6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1
"white",5,7.6,0.27,0.32,1.2,0.043,23,72,0.99236,3.06,0.68,10.5
"white",5,5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8
"red",5,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10
"red",5,8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2
"red",5,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5
"red",5,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4
"white",5,5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7
"white",5,6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4
"white",5,6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2
"red",5,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5
"white",5,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10
"red",5,7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1
"red",5,7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2
"red",5,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4
"white",5,7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9
"red",5,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5
"white",5,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1
"white",5,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9
"white",5,7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2
"white",5,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5
"white",5,7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8
"red",5,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5
"white",5,6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7
"red",5,8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1
"white",5,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2
"white",5,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6
"red",5,9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1
"white",5,6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9
"white",5,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9
"white",5,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1
"white",5,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5
"red",5,8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2
"red",5,9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4
"white",5,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9
"red",5,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8
"white",5,7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6
"red",5,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2
"white",5,6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10
"red",5,6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3
"white",5,8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5
"white",5,9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6
"white",5,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8
"red",5,8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2
"red",5,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3
"white",5,6,0.32,0.3,7.3,0.174,46,159,0.99519,3.18,0.49,9.4
"white",5,6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5
"white",5,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8
"white",5,6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4
"red",5,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8
"white",5,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8
"red",5,10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9
"white",5,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4
"white",5,6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9
"white",5,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1
"white",5,6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5
"white",5,6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9
"white",5,7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9
"white",5,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7
"red",5,8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10
"red",5,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2
"white",5,5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9
"white",5,6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3
"red",5,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2
"white",5,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5
"red",5,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4
"white",5,8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4
"white",5,6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9
"white",5,6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2
"white",5,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2
"white",5,8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8
"white",5,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4
"white",5,6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5
"white",5,9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5
"red",5,7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3
"white",5,8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2
"red",5,7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5
"white",5,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1
"white",5,5.7,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4
"red",5,6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5
"white",5,7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3
"white",5,8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10
"white",5,6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6
"red",5,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6
"white",5,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5
"red",5,6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6
"red",5,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10
"white",5,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4
"white",6,6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4
"white",6,7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10
"white",6,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1
"red",6,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25
"white",6,6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8
"white",6,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7
"white",6,7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3
"white",6,5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9
"white",6,7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1
"white",6,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9
"white",6,6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1
"white",6,5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2
"white",6,8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1
"white",6,6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3
"white",6,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3
"white",6,6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4
"white",6,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9
"white",6,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8
"white",6,6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9
"white",6,8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9
"white",6,6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1
"red",6,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9
"red",6,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8
"white",6,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9
"white",6,8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3
"white",6,7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3
"white",6,5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5
"white",6,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5
"red",6,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6
"white",6,6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8
"white",6,7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11
"white",6,8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8
"white",6,6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5
"white",6,6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6
"white",6,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9
"white",6,7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2
"white",6,6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8
"red",6,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8
"white",6,6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2
"white",6,5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12
"white",6,6.7,0.26,0.29,7.7,0.038,40,179,0.99479,3.23,0.56,10.4
"white",6,6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8
"white",6,6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4
"red",6,6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4
